query_id	query_length	gc_content	matching_length	status	target_id	sum_normalized_score	disqualifier	Round1_discard	OrphanOverride_discard	Mash_Redundancy_discard	Score_retain	Mash_retain	Size_retain	OrphanRecovery_retain	Unique_retain
ptg000045l	8175502	38.903666099035874	2935812	ALIGNED_DISCARDED	Ch_1	0.09212975545721841	ptg000677l	True	False	False	False	False	False	False	False
ptg000046l	2462127	38.62838919357125	431681	ALIGNED_DISCARDED	Ch_2	0.08724082876309792	ptg000435l	True	False	False	False	False	False	False	False
ptg000047l	2361730	40.34085183319008	42661	ALIGNED_RETAINED	Ch_11	0.012751245908719455		False	False	False	True	True	True	False	False
ptg000048l	15998572	38.74825828205167	10083871	ALIGNED_RETAINED	Ch_8	0.34119257643744705		False	False	False	True	True	True	False	False
ptg000049l	3447755	43.44505337531234	30214	ALIGNED_RETAINED	Scaffold_113	0.006391985509411197		False	False	False	False	False	False	False	True
ptg000050l	1895687	39.36282730218649	1086612	ALIGNED_RETAINED	Ch_8	0.2772140126508226		False	False	False	False	False	False	False	False
ptg000051l	1072449	41.15543023491094	223213	ALIGNED_DISCARDED	Ch_4	0.07707126399483798	ptg000422l	True	False	False	False	False	False	False	False
ptg000052l	2343856	38.50496788198593	46216	ALIGNED_RETAINED	Scaffold_6169	0.010819777324204216		False	False	False	False	False	False	False	True
ptg000053l	1356621	42.62214723198299	15338	ALIGNED_RETAINED	Scaffold_91	0.008768108410528807		False	False	False	True	True	False	False	False
ptg000054l	718078	43.92391912856263	142835	ALIGNED_RETAINED	Ch_1	0.15481605062402692		False	False	False	True	True	True	False	False
ptg000055l	4906955	39.381877355712454	542218	ALIGNED_RETAINED	Ch_3	0.05132898100756987		False	False	False	True	True	True	False	False
ptg000056l	4905706	42.0834636237883	608307	ALIGNED_RETAINED	Ch_5	0.044467809526294484		False	False	False	True	True	True	False	False
ptg000057l	3417096	39.384290052137835	275514	ALIGNED_DISCARDED	Ch_2	0.04250656112675793	ptg000435l	True	False	False	False	False	False	False	False
ptg000058l	4275042	42.77993058313813	141075	ALIGNED_DISCARDED	Ch_4	0.016616678853681437	ptg000094l	True	False	False	False	False	False	False	False
ptg000059l	227570	44.82444961989717	14508	ALIGNED_RETAINED	Scaffold_5824	0.035241903590104144		False	False	False	False	False	False	False	True
ptg000060l	3672166	40.63563575284995	71771	ALIGNED_RETAINED	Scaffold_5877	0.009497664321275237		False	False	False	False	False	False	False	True
ptg000061l	4917955	40.03845094149906	586000	ALIGNED_DISCARDED	Ch_4	0.042280785407755865	ptg000220l	True	False	False	False	False	False	False	False
ptg000062l	379052	41.42861665417937	15338	ALIGNED_RETAINED	Scaffold_91	0.025748446123487014		False	False	False	True	True	False	False	False
ptg000063l	2369420	39.239476327540075	14326	ALIGNED_RETAINED	Scaffold_279	0.005205915371694339		False	False	False	True	True	True	False	False
ptg000064l	252494	39.71539917780225	160942	ALIGNED_RETAINED	Ch_1	0.21882500178222056		False	False	False	False	False	False	False	False
ptg000065l	3721344	39.641161902796405	87874	ALIGNED_RETAINED	Scaffold_2911	0.006118757094211124		False	False	False	False	False	False	False	True
ptg000066l	4219579	38.5082492826891	1143192	ALIGNED_DISCARDED	Ch_9	0.09617950037195654	ptg000589l	True	False	False	False	False	False	False	False
ptg000067l	2960261	40.161323613019256	660097	ALIGNED_DISCARDED	Ch_4	0.042075006224113344	ptg000795l	True	False	False	False	False	False	False	False
ptg000068l	2353072	39.62012212121006	14950	ALIGNED_RETAINED	Scaffold_93	0.004258263240563825		False	False	False	False	True	True	False	False
ptg000069l	14357	54.844326809221975	10780	ALIGNED_DISCARDED	Scaffold_742	0.5179355018457895	ptg002240l	True	False	False	False	False	False	False	False
ptg000070l	29988	55.35214085634254	10177	ALIGNED_DISCARDED	Scaffold_72	0.24823262638388688	ptg003089l	True	True	False	False	False	False	False	False
ptg000071l	7164854	38.70545024364767	3316898	ALIGNED_RETAINED	Ch_6	0.22636497547612275		False	False	False	True	True	True	False	False
ptg000072l	3531478	39.23348807496465	800679	ALIGNED_DISCARDED	Ch_3	0.08686957698731239	ptg000839l	True	False	False	False	False	False	False	False
ptg000073l	3436311	40.213531313085454	1212978	ALIGNED_DISCARDED	Ch_10	0.13864140934857178	ptg000269l	True	False	False	False	False	False	False	False
ptg000074l	6752098	38.90171617769766	181814	ALIGNED_DISCARDED	Ch_3	0.0068178809016101365	ptg000436l	True	False	False	False	False	False	False	False
ptg000075l	862385	37.57625654435084	452490	ALIGNED_RETAINED	Ch_2	0.31317103149985215		False	False	False	True	False	False	False	False
ptg000076l	606266	40.18401163845573	8646	ALIGNED_RETAINED	Scaffold_6138	0.013774481828108453		False	False	False	True	False	False	False	False
ptg000077l	1901498	39.9802681885545	209632	ALIGNED_RETAINED	Ch_8	0.07002216147479513		False	False	False	True	True	True	False	False
ptg000078l	2000695	39.74293932858332	952057	ALIGNED_RETAINED	Ch_6	0.240369471608616		False	False	False	True	True	True	False	False
ptg000079l	1710380	43.0627112103743	37268	ALIGNED_RETAINED	Scaffold_5417	0.01234930249418258		False	False	False	False	False	False	False	True
ptg000080l	2840567	40.141739307680474	430057	ALIGNED_RETAINED	Ch_9	0.06059881706715596		False	False	False	True	True	True	False	False
ptg000081l	2291400	39.70860609234529	1263695	ALIGNED_RETAINED	Ch_1	0.1584258531901894		False	False	False	True	True	False	False	False
ptg000082l	2376184	39.056529292344365	960064	ALIGNED_RETAINED	Ch_10	0.2122209391191928		False	False	False	True	True	False	False	False
ptg000083l	465121	40.260706353830514	126596	ALIGNED_RETAINED	Ch_4	0.1428746498223043		False	False	False	True	False	False	False	False
ptg000084l	376001	45.26902853981771	12069	ALIGNED_RETAINED	Scaffold_203	0.026768545828335565		False	False	False	False	False	False	False	True
ptg000085l	3814969	38.53808510632721	877864	ALIGNED_DISCARDED	Ch_10	0.11402346912910695	ptg000203l	True	False	False	False	False	False	False	False
ptg000086l	641462	39.058588037950805	31308	ALIGNED_RETAINED	Ch_1	0.025234542342336724		False	False	False	True	True	True	False	False
ptg000087l	1620590	40.08225399391579	11218	ALIGNED_RETAINED	Scaffold_1251	0.006555637144496757		False	False	False	False	True	False	False	False
ptg000088l	4475410	42.05042666481953	60014	ALIGNED_RETAINED	Scaffold_4826	0.006788651765983452		False	False	False	False	False	False	False	True
ptg000089l	2869284	39.3227718134559	70844	ALIGNED_RETAINED	Scaffold_5509	0.01250521035910004		False	False	False	False	True	False	False	False
ptg000090l	909754	39.00867707094445	25814	ALIGNED_RETAINED	Scaffold_5594	0.015243681258889766		False	False	False	False	False	False	False	True
ptg000091l	9843514	40.03538776904264	2067307	ALIGNED_RETAINED	Ch_11	0.10633407947608954		False	False	False	True	True	True	False	False
ptg000092l	2508863	40.22615025212616	62825	ALIGNED_RETAINED	Ch_8	0.01616549010448159		False	False	False	False	True	True	False	False
ptg000093l	3115404	42.79945714905675	20103	ALIGNED_RETAINED	Scaffold_799	0.005330287821418988		False	False	False	False	False	False	False	True
ptg000094l	1014397	40.9139616934987	179086	ALIGNED_RETAINED	Ch_4	0.11717700269223982		False	False	False	True	True	False	False	False
ptg000095l	224659	40.374523166220804	75657	ALIGNED_RETAINED	Ch_8	0.09534895107696553		False	False	False	False	False	False	False	False
ptg000096l	1546183	44.027518088091774	34194	ALIGNED_RETAINED	Ch_10	0.01687769170919613		False	False	False	True	True	False	False	False
ptg000097l	389180	39.39693714990493	82742	ALIGNED_RETAINED	Scaffold_707	0.0664242766843106		False	False	False	True	False	False	False	False
ptg000098l	2894243	39.69355717539958	43300	ALIGNED_RETAINED	Scaffold_5330	0.012313755272103967		False	False	False	False	False	False	False	True
ptg000099l	687209	37.3902262630437	413663	ALIGNED_RETAINED	Ch_3	0.3200132710718282		False	False	False	True	True	False	False	False
ptg000100l	1129470	39.95015361187105	15338	ALIGNED_RETAINED	Scaffold_91	0.0086633553790716		False	False	False	True	True	False	False	False
ptg000101l	581647	39.28001004045409	18003	ALIGNED_RETAINED	Scaffold_4292	0.020239079716735407		False	False	False	True	True	False	False	False
ptg000102l	950825	39.35571740330766	467343	ALIGNED_RETAINED	Ch_10	0.23402834380669418		False	False	False	True	True	False	False	False
ptg000103l	465594	40.87831887867971	124873	ALIGNED_RETAINED	Ch_4	0.047955944449455966		False	False	False	True	False	False	False	False
ptg000104l	1251800	40.44000639079725	321297	ALIGNED_RETAINED	Ch_2	0.09577248761783032		False	False	False	True	True	True	False	False
ptg000105l	3083144	42.65613283064301	600899	ALIGNED_DISCARDED	Ch_4	0.07488265225367352	ptg000774l	True	False	False	False	False	False	False	False
ptg000106l	1731471	39.30444113704474	344310	ALIGNED_DISCARDED	Ch_6	0.10286282588619734	ptg000029l	True	False	False	False	False	False	False	False
ptg000107l	3193461	38.85874917526784	1607769	ALIGNED_RETAINED	Ch_7	0.24444920417064744		False	False	False	True	False	False	False	False
ptg000108l	539476	41.55347040461485	30782	ALIGNED_RETAINED	Ch_1	0.025239306289807147		False	False	False	True	True	True	False	False
ptg000109l	829108	38.69857726617039	441530	ALIGNED_RETAINED	Ch_10	0.1951301881057715		False	False	False	False	True	False	False	False
ptg000110l	5301557	38.86580866715194	1862122	ALIGNED_DISCARDED	Ch_1	0.11296511571977817	ptg000813l	True	True	False	False	False	False	False	False
ptg000111l	1158001	40.59538808688421	18522	ALIGNED_RETAINED	Scaffold_6165	0.01435318276927222		False	False	False	False	False	False	False	True
ptg000112l	866523	38.726611988371914	11775	ALIGNED_DISCARDED	Scaffold_153	0.011945441725147514	ptg000845l	True	False	False	False	False	False	False	False
ptg000113l	3118900	38.29940042963865	1688959	ALIGNED_RETAINED	Ch_5	0.314028022700311		False	False	False	True	True	False	False	False
ptg000114l	2861626	39.61712676639086	321013	ALIGNED_DISCARDED	Ch_11	0.052233240821826475	ptg000567l	True	False	False	False	False	False	False	False
ptg000115l	2181670	40.89257312059111	240827	ALIGNED_DISCARDED	Ch_4	0.05435606668286221	ptg000116l	True	True	False	False	False	False	False	False
ptg000116l	2554947	41.29494662707289	400853	ALIGNED_RETAINED	Ch_4	0.06148151018396859		True	False	False	True	True	True	True	False
ptg000117l	4226765	39.1777162913008	123941	ALIGNED_RETAINED	Ch_2	0.0180492646267299		False	False	False	False	True	False	False	False
ptg000118l	801008	37.06292571360086	585318	ALIGNED_RETAINED	Ch_5	0.25524214489742925		False	False	False	False	True	False	False	False
ptg000119l	1091044	43.96568790992848	10326	ALIGNED_RETAINED	Scaffold_1614	0.008619267417262731		False	False	False	False	True	False	False	False
ptg000120l	4469498	39.09765705231326	1127466	ALIGNED_RETAINED	Ch_6	0.0961454731605205		False	False	False	True	True	True	False	False
ptg000121l	2324573	39.034136591967645	174793	ALIGNED_DISCARDED	Ch_1	0.03557685648073861	ptg000230l	True	False	False	False	False	False	False	False
ptg000122l	2671789	39.59994595381596	716878	ALIGNED_RETAINED	Ch_3	0.08333629639166866		True	False	False	True	True	False	True	False
ptg000123l	456588	40.741981830446704	19815	ALIGNED_DISCARDED	Ch_8	0.026310371713667464	ptg003150l	True	True	False	False	False	False	False	False
ptg000124l	1192522	37.78404088142609	39925	ALIGNED_RETAINED	Ch_10	0.019114112779470734		False	False	False	False	True	False	False	False
ptg000125l	1792425	41.259132181262814	286349	ALIGNED_DISCARDED	Ch_4	0.032003012678354745	ptg000220l	True	False	False	False	False	False	False	False
ptg000126l	1785065	39.06115463582559	521620	ALIGNED_RETAINED	Ch_1	0.105846565811329		False	False	False	True	True	False	False	False
ptg000127l	1310844	38.90630769183824	98026	ALIGNED_RETAINED	Ch_4	0.035191830606845664		False	False	False	False	True	False	False	False
ptg000128l	1008178	39.668094324613314	173486	ALIGNED_DISCARDED	Ch_9	0.012473987728357493	ptg001303l	True	False	False	False	False	False	False	False
ptg000129l	942497	40.69084570030462	103192	ALIGNED_RETAINED	Ch_6	0.059247933945678344		False	False	False	True	True	False	False	False
ptg000130l	1252689	38.63736330406031	365371	ALIGNED_RETAINED	Ch_4	0.15599083252108065		False	False	False	True	True	False	False	False
ptg000131l	838216	38.640756081964554	40443	ALIGNED_RETAINED	Ch_10	0.038913597449822		False	False	False	True	True	False	False	False
ptg000132l	5608055	38.38139961180837	2474364	ALIGNED_RETAINED	Ch_11	0.2596499142750918		False	False	False	True	True	False	False	False
ptg000133l	1226001	38.87525377222368	30026	ALIGNED_RETAINED	Ch_3	0.019366215851373693		False	False	False	True	True	False	False	False
ptg000134l	1361463	40.32977759953814	234944	ALIGNED_DISCARDED	Ch_2	0.08230704763919401	ptg000435l	True	False	False	False	False	False	False	False
ptg000135l	3316330	39.91451393558542	70462	ALIGNED_RETAINED	Ch_6	0.016683804084635726		False	False	False	True	True	True	False	False
ptg000136l	441540	42.06255378901119	23150	ALIGNED_RETAINED	Scaffold_51	0.03740317977986139		False	False	False	True	True	False	False	False
ptg000137l	2454706	40.25418930006282	407492	ALIGNED_DISCARDED	Ch_4	0.04235252612736515	ptg000220l	True	False	False	False	False	False	False	False
ptg000138l	8179619	38.33633326931242	3753878	ALIGNED_RETAINED	Ch_6	0.2540533978416354		False	False	False	True	True	True	False	False
ptg000139l	515231	37.99519050678239	13918	ALIGNED_RETAINED	Scaffold_3065	0.018463562945552577		False	False	False	False	True	True	False	False
ptg000140l	724975	38.05538122004207	22682	ALIGNED_RETAINED	Ch_6	0.02555950205179489		False	False	False	True	True	False	False	False
ptg000141l	3978974	38.54114151034915	1828792	ALIGNED_RETAINED	Ch_8	0.18930131234835915		False	False	False	True	True	False	False	False
ptg000142l	6425546	39.21696304096181	3773910	ALIGNED_RETAINED	Ch_9	0.2789157528403034		False	False	False	True	True	True	False	False
ptg000143l	473906	40.33711326718801	18800	ALIGNED_RETAINED	Ch_10	0.031105324684642104		False	False	False	True	True	False	False	False
ptg000144l	1254199	39.757247454351344	499226	ALIGNED_RETAINED	Ch_7	0.15618733550257974		False	False	False	True	True	False	False	False
ptg000145l	280024	38.05852355512385	200349	ALIGNED_RETAINED	Ch_3	0.32366868554123934		False	False	False	True	False	False	False	False
ptg000146l	2596500	40.34507991527055	39212	ALIGNED_RETAINED	Scaffold_5813	0.008528788754092046		False	False	False	False	False	False	False	True
ptg000147l	6448252	38.95517731006791	1611567	ALIGNED_RETAINED	Ch_10	0.1298587586217164		False	False	False	True	True	True	False	False
ptg000148l	647198	38.132379889925495	12586	ALIGNED_RETAINED	Scaffold_729	0.018694433542748894		False	False	False	False	False	False	False	True
ptg000149l	2059598	38.65064930146563	116997	ALIGNED_DISCARDED	Ch_11	0.026603249760390135	ptg000224l	True	False	False	False	False	False	False	False
ptg000150l	1184727	38.85865688888664	819480	ALIGNED_RETAINED	Ch_11	0.4013506909186673		False	False	False	True	False	False	False	False
ptg000151l	5292174	38.89146501985763	862227	ALIGNED_DISCARDED	Ch_5	0.06302419383791992	ptg000542l	True	False	False	False	False	False	False	False
ptg000152l	1724590	41.4197577395207	283807	ALIGNED_DISCARDED	Ch_4	0.07160426536162218	ptg000094l	True	False	False	False	False	False	False	False
ptg000153l	116182	42.68044963935893	12632	ALIGNED_DISCARDED	Ch_9	0.10022206538017937	ptg002224l	True	True	False	False	False	False	False	False
ptg000154l	863717	41.65334247212918	37903	ALIGNED_DISCARDED	Ch_6	0.029293159680775067	ptg000511l	True	False	False	False	False	False	False	False
ptg000155l	1095761	39.5133610340211	341869	ALIGNED_RETAINED	Ch_4	0.07266639349274158		False	False	False	True	False	False	False	False
ptg000156l	1308684	40.360545402862726	14208	ALIGNED_RETAINED	Scaffold_1352	0.007579369809671395		False	False	False	True	True	True	False	False
ptg000157l	1710908	38.370853371426165	86254	ALIGNED_RETAINED	Scaffold_5987	0.028804003488206262		False	False	False	False	False	False	False	True
ptg000158l	211695	39.34386735633813	86913	ALIGNED_RETAINED	Ch_1	0.14322019887101728		False	False	False	True	False	False	False	False
ptg000159l	1929666	38.49614389225908	1367264	ALIGNED_DISCARDED	Ch_7	0.3833865549789445	ptg000664l	True	True	False	False	False	False	False	False
ptg000160l	1511985	40.47540154168196	43075	ALIGNED_RETAINED	Scaffold_5325	0.0161965892518775		False	False	False	False	True	False	False	False
ptg000161l	1900126	38.187730708384606	1336819	ALIGNED_RETAINED	Ch_2	0.43414489354916463		False	False	False	True	False	False	False	False
ptg000162l	737981	42.54974044047204	61242	ALIGNED_DISCARDED	Ch_11	0.05131839437600697	ptg000187l	True	False	False	False	False	False	False	False
ptg000163l	4444955	38.97522022157705	440283	ALIGNED_RETAINED	Ch_4	0.043929353615503416		False	False	False	True	True	True	False	False
ptg000164l	3381244	38.820889589748624	435281	ALIGNED_RETAINED	Ch_1	0.06439523441668214		True	False	False	True	True	False	True	False
ptg000165l	840679	38.975280695723335	78942	ALIGNED_RETAINED	Ch_9	0.05771168305619624		False	False	False	True	True	True	False	False
ptg000166l	1793812	39.8563506097629	45698	ALIGNED_RETAINED	Ch_1	0.013044845279215437		False	False	False	True	True	True	False	False
ptg000167l	3810973	41.39079442441602	62106	ALIGNED_RETAINED	Ch_1	0.006422244397952964		False	False	False	False	True	True	False	False
ptg000168l	468183	42.77088232592811	79417	ALIGNED_DISCARDED	Ch_6	0.028535850297853618	ptg000830l	True	False	False	False	False	False	False	False
ptg000169l	4037449	38.46235580932416	204953	ALIGNED_RETAINED	Ch_4	0.017120216255363224		False	False	False	True	True	True	False	False
ptg000170l	1143215	39.80187453803528	15338	ALIGNED_RETAINED	Scaffold_91	0.008770003892531152		False	False	False	True	True	False	False	False
ptg000171l	1038939	40.75898584998735	113465	ALIGNED_RETAINED	Ch_9	0.07061723546810737		False	False	False	True	True	False	False	False
ptg000172l	599819	39.993064574479966	13637	ALIGNED_RETAINED	Ch_7	0.017578636221926947		False	False	False	False	True	False	False	False
ptg000173l	2938001	38.414656768326495	2007768	ALIGNED_RETAINED	Ch_8	0.35187190201773244		False	False	False	True	False	False	False	False
ptg000174l	968957	40.783233930917476	43398	ALIGNED_DISCARDED	Ch_10	0.034022149589713474	ptg000324l	False	True	False	False	False	False	False	False
ptg000175l	1064259	39.149492745656836	307905	ALIGNED_DISCARDED	Ch_10	0.18239826959414954	ptg000177l	True	False	False	False	False	False	False	False
ptg000176l	776214	39.4217316358633	249280	ALIGNED_DISCARDED	Ch_10	0.07873988358880411	ptg000793l	True	False	False	False	False	False	False	False
ptg000177l	1645183	38.60524938563066	1086983	ALIGNED_RETAINED	Ch_10	0.40730119384895175		False	False	False	True	False	False	False	False
ptg000178l	6707595	40.83165426654412	863238	ALIGNED_DISCARDED	Ch_10	0.04663266043939743	ptg000269l	True	False	False	False	False	False	False	False
ptg000179l	7879360	38.41304369898062	5252446	ALIGNED_RETAINED	Ch_2	0.3032229775007107		False	False	False	True	True	True	False	False
ptg000180l	2831537	38.68573852292942	193807	ALIGNED_RETAINED	Ch_6	0.03920309005321138		False	False	False	True	True	True	False	False
ptg000181l	677525	43.48415187631453	37095	ALIGNED_RETAINED	Ch_4	0.03838825135603852		False	False	False	True	True	True	False	False
ptg000182l	5733203	39.90443038559771	283552	ALIGNED_RETAINED	Ch_1	0.017540282456420957		True	False	False	True	True	True	True	False
ptg000183l	1464078	40.08884772532611	16483	ALIGNED_RETAINED	Ch_6	0.00952135063842227		False	False	False	True	True	True	False	False
ptg000184l	9969227	38.155696524916124	5858849	ALIGNED_RETAINED	Ch_8	0.32651628857483134		False	False	False	True	True	False	False	False
ptg000185l	6326387	39.51381728623304	2545576	ALIGNED_DISCARDED	Ch_2	0.11547791812293494	ptg000563l	True	False	False	False	False	False	False	False
ptg000186l	1570206	40.45545616307669	24112	ALIGNED_RETAINED	Scaffold_5938	0.009831194123573595		False	False	False	False	True	False	False	False
ptg000187l	672860	39.3775822607972	66780	ALIGNED_RETAINED	Ch_11	0.06087744850340338		False	False	False	True	True	False	False	False
ptg000188l	582829	37.478402756211516	419841	ALIGNED_RETAINED	Ch_6	0.2929229671138533		False	False	False	True	True	True	False	False
ptg000189l	1871828	38.678340103898435	41916	ALIGNED_RETAINED	Scaffold_9	0.011678423444889167		False	False	False	True	False	False	False	False
ptg000190l	4654537	38.78688685899371	1895732	ALIGNED_RETAINED	Ch_10	0.2166847099937115		False	False	False	True	True	False	False	False
ptg000191l	1166206	39.54687250794456	94991	ALIGNED_RETAINED	Ch_10	0.06112470695571794		False	False	False	True	True	False	False	False
ptg000192l	3240391	39.37512479203898	497723	ALIGNED_DISCARDED	Ch_2	0.051616919069334535	ptg000104l	True	False	False	False	False	False	False	False
ptg000193l	1600094	38.92190083832575	738028	ALIGNED_DISCARDED	Ch_2	0.09978726249832823	ptg000938l	True	False	False	False	False	False	False	False
ptg000194l	1167812	37.53712070093474	830302	ALIGNED_DISCARDED	Ch_6	0.4536397981866944	ptg000875l	True	False	False	False	False	False	False	False
ptg000195l	519340	40.10917703238726	43523	ALIGNED_RETAINED	Ch_11	0.07217237262679554		False	False	False	True	True	False	False	False
ptg000196l	473676	39.33680406015927	122978	ALIGNED_RETAINED	Ch_6	0.13728371291769056		False	False	False	True	True	False	False	False
ptg000197l	1435951	42.72959174790783	14326	ALIGNED_RETAINED	Scaffold_279	0.007911829860489668		False	False	False	True	True	True	False	False
ptg000198l	1722631	39.368094501956605	25262	ALIGNED_DISCARDED	Ch_4	0.009021084608369407	ptg000549l	True	False	False	False	False	False	False	False
ptg000199l	413561	38.27851272242789	147046	ALIGNED_RETAINED	Ch_2	0.16095811742403177		False	False	False	True	True	False	False	False
ptg000200l	3175653	38.355072169408935	1394922	ALIGNED_RETAINED	Ch_2	0.22963655034098499		False	False	False	True	True	False	False	False
